"Date","Price","Open","High","Low","Vol.","Change %"
"03-10-2025","88.747","88.721","88.798","88.673","","0.03%"
"02-10-2025","88.720","88.669","88.883","88.585","","0.04%"
"01-10-2025","88.683","88.786","88.856","88.612","","-0.18%"
"30-09-2025","88.841","88.738","88.877","88.673","","0.15%"
"29-09-2025","88.704","88.661","88.802","88.624","","0.03%"
"26-09-2025","88.677","88.774","88.792","88.638","","-0.10%"
"25-09-2025","88.768","88.732","88.818","88.599","","-0.01%"
"24-09-2025","88.777","88.790","88.939","88.673","","-0.03%"
"23-09-2025","88.808","88.304","88.821","88.256","","0.57%"
"22-09-2025","88.303","88.181","88.346","88.116","","0.23%"
"19-09-2025","88.100","88.207","88.343","88.052","","-0.12%"
"18-09-2025","88.206","87.891","88.291","87.834","","0.53%"
"17-09-2025","87.745","87.879","87.910","87.662","","-0.16%"
"16-09-2025","87.883","88.069","88.160","87.878","","-0.27%"
"15-09-2025","88.122","88.279","88.302","88.115","","-0.18%"
"12-09-2025","88.277","88.298","88.431","88.232","","0.01%"
"11-09-2025","88.267","88.105","88.499","88.084","","0.24%"
"10-09-2025","88.054","88.220","88.267","88.021","","-0.22%"
"09-09-2025","88.248","88.002","88.261","87.949","","0.30%"
"08-09-2025","87.981","88.153","88.196","87.922","","-0.23%"
"05-09-2025","88.187","88.125","88.367","88.069","","-0.01%"
"04-09-2025","88.193","88.079","88.220","87.999","","0.14%"
"03-09-2025","88.073","88.045","88.195","87.975","","0.09%"
"02-09-2025","87.998","87.985","88.206","87.825","","0.00%"
"01-09-2025","88.001","88.175","88.343","87.931","","-0.20%"
"29-08-2025","88.174","87.591","88.313","87.575","","0.67%"
"28-08-2025","87.591","87.659","87.696","87.520","","-0.08%"
"27-08-2025","87.661","87.674","87.883","87.607","","0.03%"
"26-08-2025","87.635","87.623","87.805","87.582","","0.03%"
"25-08-2025","87.608","87.310","87.623","87.274","","0.32%"
"22-08-2025","87.331","87.266","87.551","87.179","","0.04%"
"21-08-2025","87.294","87.023","87.343","86.926","","0.32%"
"20-08-2025","87.018","87.073","87.171","86.980","","-0.06%"
"19-08-2025","87.070","87.297","87.382","86.921","","-0.28%"
"18-08-2025","87.311","87.545","87.559","87.296","","-0.23%"
"15-08-2025","87.513","87.692","87.694","87.410","","-0.20%"
"14-08-2025","87.691","87.471","87.700","87.385","","0.28%"
"13-08-2025","87.450","87.595","87.727","87.380","","-0.18%"
